Date,Region,Product,SalesCount
2023-10-24,West,Product A,960
2023-10-27,West,Product A,1879
2023-10-28,West,Product A,1302
2023-10-29,East,Product B,800
2023-11-02,West,Product A,1629
2023-11-04,South,Product C,1345
2023-11-05,East,Product C,1724
2023-11-07,North,Product A,1608
2023-11-09,East,Product A,1084
2023-11-11,East,Product B,1337
2023-11-15,East,Product B,1693
2023-11-16,West,Product B,567
2023-11-20,West,Product B,1254
2023-11-25,West,Product C,1129
2023-11-26,South,Product B,579
2023-11-27,West,Product A,1470
2023-12-01,East,Product A,808
2023-12-02,North,Product A,1288
2023-12-19,North,Product B,798
2023-12-23,North,Product B,1145
2023-12-26,South,Product B,1072
2023-12-27,North,Product C,1439
