Occupation,Company,City,Min_salary,Max_salary,Experience,Date
Java Engineer,TechCorp,Москва,181000.0,429000.0,7.0,2023-12-17
DevOps Engineer,GameDev,Самара,84000.0,215000.0,3.0,2023-11-06
DevOps Engineer,FinTech,Самара,132000.0,146000.0,8.0,2023-01-06
Frontend Developer,FinTech,Казань,116000.0,297000.0,3.0,2023-01-31
Data Analyst,AIVentures,Новосибирск,63000.0,190000.0,7.0,2023-08-13
Frontend Developer,FinTech,Санкт-Петербург,84000.0,257000.0,5.0,2023-06-07
UI/UX Designer,DataMasters,Ростов-на-Дону,113000.0,129000.0,4.0,2023-10-18
Frontend Developer,CyberSec,Уфа,74000.0,355000.0,5.0,2023-07-16
Python Developer,GameDev,Екатеринбург,126000.0,146000.0,5.0,2023-02-02
Java Engineer,GameDev,Казань,127000.0,146000.0,5.0,2023-07-07
Product Manager,FinTech,Нижний Новгород,136000.0,147000.0,0.0,2023-10-17
UI/UX Designer,CloudNine,Самара,114000.0,124000.0,0.0,2023-05-08
Java Engineer,MobileTech,Новосибирск,108000.0,118000.0,5.0,2023-02-07
Java Engineer,DataMasters,Москва,102000.0,119000.0,3.0,2023-12-23
Python Developer,AIVentures,Омск,128000.0,145000.0,9.0,2023-06-22
Backend Developer,ITSolutions,Самара,142000.0,152000.0,4.0,2023-04-14
Frontend Developer,AIVentures,Москва,133000.0,319000.0,5.0,2023-08-09
Frontend Developer,GameDev,Нижний Новгород,137000.0,152000.0,2.0,2023-09-28
UI/UX Designer,DataMasters,Екатеринбург,143000.0,160000.0,3.0,2023-10-11
Java Engineer,MobileTech,Самара,106000.0,352000.0,2.0,2023-03-04
Data Analyst,DataMasters,Казань,105000.0,196000.0,6.0,2023-03-07
Java Engineer,CyberSec,Ростов-на-Дону,107000.0,119000.0,6.0,2023-02-17
Data Analyst,WebStudio,Уфа,74000.0,122000.0,9.0,2023-05-05
Product Manager,CloudNine,Санкт-Петербург,92000.0,384000.0,5.0,2023-03-13
Data Analyst,CyberSec,Уфа,83000.0,130000.0,3.0,2023-03-03
Java Engineer,CloudNine,Новосибирск,132000.0,147000.0,2.0,2023-02-18
Data Analyst,GameDev,Санкт-Петербург,138000.0,152000.0,4.0,2023-09-26
Product Manager,ITSolutions,Казань,200000.0,362000.0,2.0,2023-04-29
UI/UX Designer,WebStudio,Самара,118000.0,137000.0,3.0,2023-02-24
Java Engineer,DataMasters,Новосибирск,171000.0,357000.0,6.0,2023-08-29
Product Manager,TechCorp,Екатеринбург,157000.0,258000.0,8.0,2023-04-06
Product Manager,FinTech,Казань,112000.0,141000.0,4.0,2023-10-14
DevOps Engineer,TechCorp,Екатеринбург,125000.0,199000.0,4.0,2023-06-01
UI/UX Designer,CyberSec,Москва,134000.0,147000.0,2.0,2023-12-21
Product Manager,TechCorp,Казань,65000.0,320000.0,2.0,2023-09-22
Product Manager,DataMasters,Москва,108000.0,128000.0,3.0,2023-03-11
Java Engineer,FinTech,Санкт-Петербург,77000.0,237000.0,8.0,2023-11-30
Machine Learning Engineer,CloudNine,Самара,186000.0,301000.0,4.0,2023-10-18
QA Engineer,GameDev,Новосибирск,108000.0,121000.0,4.0,2023-11-30
Machine Learning Engineer,CloudNine,Санкт-Петербург,133000.0,148000.0,7.0,2023-09-09
Backend Developer,ITSolutions,Москва,112000.0,130000.0,5.0,2023-04-12
DevOps Engineer,FinTech,Нижний Новгород,83000.0,197000.0,5.0,2023-08-14
DevOps Engineer,CyberSec,Омск,111000.0,128000.0,6.0,2023-04-28
Machine Learning Engineer,CyberSec,Нижний Новгород,136000.0,152000.0,2.0,2023-08-03
QA Engineer,CyberSec,Самара,103000.0,113000.0,1.0,2023-02-16
UI/UX Designer,DataMasters,Москва,181000.0,356000.0,3.0,2023-06-19
Machine Learning Engineer,GameDev,Уфа,117000.0,134000.0,7.0,2023-08-06
Java Engineer,MobileTech,Уфа,103000.0,263000.0,4.0,2023-04-19
DevOps Engineer,CloudNine,Ростов-на-Дону,125000.0,142000.0,6.0,2023-12-29
Frontend Developer,WebStudio,Санкт-Петербург,136000.0,153000.0,5.0,2023-04-24
Backend Developer,CloudNine,Омск,106000.0,122000.0,0.0,2023-02-10
DevOps Engineer,ITSolutions,Уфа,129000.0,147000.0,6.0,2023-04-19
Product Manager,ITSolutions,Уфа,114000.0,129000.0,5.0,2023-09-15
Java Engineer,AIVentures,Самара,63000.0,207000.0,5.0,2023-06-03
Machine Learning Engineer,DataMasters,Москва,194000.0,475000.0,1.0,2023-08-07
Data Analyst,MobileTech,Ростов-на-Дону,126000.0,138000.0,5.0,2023-08-11
DevOps Engineer,ITSolutions,Казань,139000.0,159000.0,1.0,2023-11-26
Backend Developer,GameDev,Нижний Новгород,103000.0,118000.0,5.0,2023-05-01
Machine Learning Engineer,CyberSec,Омск,140000.0,256000.0,4.0,2023-04-21
QA Engineer,CloudNine,Новосибирск,139000.0,152000.0,8.0,2023-04-17
Product Manager,GameDev,Екатеринбург,179000.0,374000.0,0.0,2023-09-13
Frontend Developer,TechCorp,Нижний Новгород,69000.0,336000.0,3.0,2023-02-01
Frontend Developer,DataMasters,Санкт-Петербург,102000.0,280000.0,2.0,2023-07-17
UI/UX Designer,FinTech,Новосибирск,147000.0,164000.0,5.0,2023-07-10
QA Engineer,DataMasters,Самара,118000.0,132000.0,3.0,2023-11-04
Product Manager,MobileTech,Новосибирск,106000.0,383000.0,3.0,2023-05-25
Machine Learning Engineer,FinTech,Москва,132000.0,145000.0,4.0,2023-06-22
Backend Developer,AIVentures,Нижний Новгород,126000.0,144000.0,5.0,2023-07-10
Python Developer,TechCorp,Нижний Новгород,139000.0,273000.0,9.0,2023-09-22
Frontend Developer,WebStudio,Нижний Новгород,117000.0,135000.0,5.0,2023-10-22
Backend Developer,MobileTech,Самара,144000.0,161000.0,8.0,2023-07-14
Python Developer,GameDev,Санкт-Петербург,150000.0,169000.0,5.0,2023-03-26
Machine Learning Engineer,AIVentures,Санкт-Петербург,141000.0,411000.0,4.0,2023-10-21
Product Manager,CloudNine,Екатеринбург,189000.0,456000.0,5.0,2023-04-05
Java Engineer,DataMasters,Ростов-на-Дону,177000.0,363000.0,7.0,2023-11-03
Data Analyst,WebStudio,Ростов-на-Дону,118000.0,130000.0,0.0,2023-03-23
Backend Developer,CloudNine,Ростов-на-Дону,133000.0,147000.0,9.0,2023-11-04
QA Engineer,MobileTech,Казань,145000.0,159000.0,3.0,2023-09-15
Frontend Developer,GameDev,Москва,60000.0,141000.0,4.0,2023-07-03
Machine Learning Engineer,MobileTech,Новосибирск,149000.0,191000.0,5.0,2023-10-06
Python Developer,CloudNine,Омск,95000.0,255000.0,2.0,2023-08-16
Product Manager,CloudNine,Самара,118000.0,131000.0,5.0,2023-01-10
Python Developer,MobileTech,Санкт-Петербург,72000.0,307000.0,8.0,2023-11-02
Product Manager,WebStudio,Уфа,140000.0,158000.0,4.0,2023-06-14
QA Engineer,MobileTech,Санкт-Петербург,129000.0,145000.0,4.0,2023-08-07
Frontend Developer,MobileTech,Новосибирск,163000.0,270000.0,5.0,2023-07-31
Data Analyst,FinTech,Казань,133000.0,147000.0,7.0,2023-07-17
QA Engineer,WebStudio,Омск,152000.0,323000.0,2.0,2023-04-14
Machine Learning Engineer,DataMasters,Уфа,105000.0,124000.0,3.0,2023-03-26
Python Developer,CyberSec,Нижний Новгород,140000.0,152000.0,3.0,2023-09-26
Python Developer,AIVentures,Самара,116000.0,414000.0,0.0,2023-12-18
Python Developer,TechCorp,Уфа,158000.0,230000.0,2.0,2023-10-12
Data Analyst,DataMasters,Самара,120000.0,133000.0,6.0,2023-09-23
Python Developer,CloudNine,Уфа,199000.0,429000.0,3.0,2023-08-14
UI/UX Designer,TechCorp,Москва,108000.0,127000.0,5.0,2023-03-15
Machine Learning Engineer,AIVentures,Казань,124000.0,138000.0,4.0,2023-01-09
DevOps Engineer,TechCorp,Уфа,139000.0,153000.0,1.0,2023-05-29
UI/UX Designer,CyberSec,Ростов-на-Дону,125000.0,281000.0,4.0,2023-10-20
Machine Learning Engineer,CloudNine,Омск,117000.0,129000.0,2.0,2023-11-07
Java Engineer,CyberSec,Екатеринбург,81000.0,144000.0,3.0,2023-11-07
DevOps Engineer,ITSolutions,Ростов-на-Дону,192000.0,255000.0,2.0,2023-02-12
Machine Learning Engineer,MobileTech,Екатеринбург,99000.0,123000.0,3.0,2023-08-25
UI/UX Designer,FinTech,Новосибирск,144000.0,160000.0,6.0,2023-10-04
Backend Developer,MobileTech,Самара,138000.0,194000.0,1.0,2023-08-17
Product Manager,DataMasters,Омск,79000.0,286000.0,7.0,2023-03-14
UI/UX Designer,WebStudio,Казань,120000.0,219000.0,2.0,2023-01-04
QA Engineer,CyberSec,Екатеринбург,60000.0,104000.0,3.0,2023-09-18
Frontend Developer,MobileTech,Новосибирск,180000.0,450000.0,5.0,2023-05-12
Product Manager,GameDev,Новосибирск,100000.0,115000.0,2.0,2023-02-06
Product Manager,AIVentures,Екатеринбург,161000.0,226000.0,3.0,2023-10-09
Java Engineer,GameDev,Омск,100000.0,114000.0,5.0,2023-04-07
Java Engineer,CyberSec,Ростов-на-Дону,166000.0,207000.0,2.0,2023-02-20
Python Developer,TechCorp,Москва,113000.0,133000.0,5.0,2023-04-26
Backend Developer,MobileTech,Омск,188000.0,286000.0,0.0,2023-02-17
DevOps Engineer,FinTech,Уфа,52000.0,174000.0,0.0,2023-09-04
Machine Learning Engineer,AIVentures,Самара,113000.0,285000.0,5.0,2023-09-17
Data Analyst,AIVentures,Москва,95000.0,277000.0,2.0,2023-01-31
Product Manager,CyberSec,Самара,121000.0,138000.0,2.0,2023-04-23
QA Engineer,CloudNine,Казань,116000.0,136000.0,0.0,2023-11-09
Java Engineer,CyberSec,Москва,130000.0,141000.0,4.0,2023-11-06
Product Manager,CyberSec,Ростов-на-Дону,125000.0,144000.0,3.0,2023-04-11
Data Analyst,TechCorp,Москва,135000.0,364000.0,5.0,2023-02-10
QA Engineer,CloudNine,Уфа,173000.0,349000.0,1.0,2023-09-10
Backend Developer,AIVentures,Самара,196000.0,428000.0,4.0,2023-06-20
Product Manager,MobileTech,Самара,199000.0,331000.0,2.0,2023-10-10
Product Manager,DataMasters,Уфа,100000.0,120000.0,1.0,2023-10-12
Python Developer,DataMasters,Новосибирск,123000.0,281000.0,4.0,2023-02-04
Python Developer,WebStudio,Москва,98000.0,152000.0,2.0,2023-01-14
QA Engineer,ITSolutions,Омск,166000.0,317000.0,2.0,2023-06-30
QA Engineer,MobileTech,Новосибирск,131000.0,149000.0,9.0,2023-10-25
Python Developer,CloudNine,Уфа,99000.0,354000.0,5.0,2023-04-22
Backend Developer,FinTech,Новосибирск,127000.0,137000.0,7.0,2023-05-20
Product Manager,CloudNine,Нижний Новгород,192000.0,289000.0,3.0,2023-04-08
Java Engineer,GameDev,Ростов-на-Дону,117000.0,210000.0,3.0,2023-11-26
Machine Learning Engineer,WebStudio,Санкт-Петербург,143000.0,158000.0,4.0,2023-11-24
Frontend Developer,AIVentures,Уфа,120000.0,136000.0,2.0,2023-08-29
UI/UX Designer,FinTech,Санкт-Петербург,189000.0,386000.0,4.0,2023-05-21
Java Engineer,TechCorp,Самара,143000.0,162000.0,4.0,2023-01-07
QA Engineer,WebStudio,Новосибирск,131000.0,142000.0,9.0,2023-08-19
Backend Developer,AIVentures,Новосибирск,68000.0,109000.0,3.0,2023-01-04
Data Analyst,MobileTech,Омск,97000.0,194000.0,4.0,2023-04-19
UI/UX Designer,FinTech,Казань,136000.0,373000.0,5.0,2023-01-25
DevOps Engineer,MobileTech,Омск,121000.0,134000.0,2.0,2023-01-31
QA Engineer,AIVentures,Нижний Новгород,66000.0,207000.0,1.0,2023-05-25
DevOps Engineer,WebStudio,Ростов-на-Дону,109000.0,129000.0,2.0,2023-10-05
Python Developer,CloudNine,Санкт-Петербург,98000.0,303000.0,5.0,2023-03-30
Frontend Developer,GameDev,Самара,120000.0,131000.0,5.0,2023-08-22
QA Engineer,AIVentures,Санкт-Петербург,142000.0,370000.0,2.0,2023-03-29
Python Developer,ITSolutions,Нижний Новгород,106000.0,116000.0,2.0,2023-12-07
Data Analyst,WebStudio,Омск,110000.0,130000.0,3.0,2023-04-30
QA Engineer,FinTech,Казань,122000.0,138000.0,3.0,2023-12-30
UI/UX Designer,GameDev,Омск,51000.0,184000.0,5.0,2023-10-24
Data Analyst,MobileTech,Уфа,120000.0,140000.0,2.0,2023-04-13
Java Engineer,DataMasters,Омск,142000.0,421000.0,6.0,2023-08-25
Machine Learning Engineer,ITSolutions,Омск,124000.0,144000.0,2.0,2023-01-16
UI/UX Designer,WebStudio,Омск,141000.0,151000.0,4.0,2023-07-12
UI/UX Designer,CyberSec,Ростов-на-Дону,50000.0,159000.0,6.0,2023-05-31
QA Engineer,CloudNine,Новосибирск,87000.0,167000.0,5.0,2023-09-04
Data Analyst,MobileTech,Уфа,141000.0,151000.0,4.0,2023-07-28
Machine Learning Engineer,GameDev,Екатеринбург,120000.0,133000.0,3.0,2023-05-05
DevOps Engineer,GameDev,Уфа,133000.0,150000.0,7.0,2023-08-23
Java Engineer,ITSolutions,Ростов-на-Дону,138000.0,166000.0,3.0,2023-06-25
Python Developer,MobileTech,Санкт-Петербург,138000.0,379000.0,3.0,2023-09-30
DevOps Engineer,AIVentures,Казань,76000.0,178000.0,2.0,2023-11-18
Data Analyst,CloudNine,Омск,93000.0,186000.0,7.0,2023-02-02
Java Engineer,GameDev,Казань,64000.0,134000.0,2.0,2023-02-02
Product Manager,CloudNine,Екатеринбург,137000.0,152000.0,9.0,2023-09-25
Backend Developer,TechCorp,Санкт-Петербург,70000.0,322000.0,5.0,2023-12-01
QA Engineer,DataMasters,Новосибирск,102000.0,117000.0,7.0,2023-05-12
Java Engineer,DataMasters,Ростов-на-Дону,118000.0,134000.0,3.0,2023-10-24
Python Developer,WebStudio,Самара,136000.0,153000.0,3.0,2023-05-07
Data Analyst,FinTech,Санкт-Петербург,192000.0,214000.0,4.0,2023-01-22
Data Analyst,ITSolutions,Ростов-на-Дону,111000.0,125000.0,7.0,2023-06-10
UI/UX Designer,CyberSec,Москва,158000.0,366000.0,1.0,2023-10-02
QA Engineer,DataMasters,Новосибирск,143000.0,163000.0,5.0,2023-11-11
Data Analyst,FinTech,Москва,136000.0,432000.0,4.0,2023-05-08
Frontend Developer,FinTech,Омск,126000.0,144000.0,6.0,2023-08-12
QA Engineer,AIVentures,Казань,110000.0,129000.0,5.0,2023-08-31
Python Developer,DataMasters,Уфа,129000.0,146000.0,9.0,2023-11-05
Product Manager,GameDev,Нижний Новгород,90000.0,175000.0,6.0,2023-05-18
DevOps Engineer,MobileTech,Омск,134000.0,255000.0,4.0,2023-06-29
Product Manager,CloudNine,Екатеринбург,197000.0,472000.0,0.0,2023-11-23
DevOps Engineer,CyberSec,Нижний Новгород,131000.0,149000.0,7.0,2023-09-15
Java Engineer,CloudNine,Екатеринбург,191000.0,461000.0,1.0,2023-02-04
UI/UX Designer,ITSolutions,Нижний Новгород,132000.0,221000.0,5.0,2023-08-10
DevOps Engineer,MobileTech,Новосибирск,151000.0,291000.0,6.0,2023-02-11
Data Analyst,FinTech,Ростов-на-Дону,196000.0,284000.0,5.0,2023-05-04
Machine Learning Engineer,FinTech,Омск,122000.0,141000.0,4.0,2023-03-15
Product Manager,GameDev,Самара,124000.0,135000.0,2.0,2023-01-26
UI/UX Designer,DataMasters,Омск,107000.0,126000.0,3.0,2023-05-10
DevOps Engineer,CloudNine,Самара,147000.0,167000.0,3.0,2023-01-27
QA Engineer,WebStudio,Новосибирск,147000.0,162000.0,5.0,2023-10-25
QA Engineer,GameDev,Омск,126000.0,139000.0,7.0,2023-04-23
Frontend Developer,GameDev,Москва,143000.0,154000.0,0.0,2023-11-05
UI/UX Designer,CyberSec,Омск,120000.0,313000.0,8.0,2023-05-19
Java Engineer,CyberSec,Уфа,105000.0,123000.0,2.0,2023-07-01
Python Developer,CyberSec,Самара,101000.0,116000.0,4.0,2023-02-07
Java Engineer,GameDev,Омск,124000.0,135000.0,4.0,2023-09-07
Frontend Developer,FinTech,Казань,135000.0,154000.0,9.0,2023-04-19
Machine Learning Engineer,GameDev,Казань,110000.0,361000.0,2.0,2023-12-09
Frontend Developer,GameDev,Москва,147000.0,166000.0,3.0,2023-09-27
Machine Learning Engineer,GameDev,Нижний Новгород,131000.0,385000.0,6.0,2023-05-12
Product Manager,MobileTech,Санкт-Петербург,62000.0,130000.0,2.0,2023-10-31
Python Developer,WebStudio,Омск,118000.0,295000.0,4.0,2023-12-17
Python Developer,MobileTech,Нижний Новгород,119000.0,130000.0,3.0,2023-12-17
Data Analyst,GameDev,Новосибирск,116000.0,126000.0,0.0,2023-03-13
Java Engineer,WebStudio,Новосибирск,78000.0,90000.0,1.0,2023-09-28
Python Developer,DataMasters,Нижний Новгород,84000.0,116000.0,3.0,2023-10-28
Frontend Developer,CyberSec,Самара,152000.0,447000.0,2.0,2023-06-16
Python Developer,AIVentures,Москва,122000.0,273000.0,1.0,2023-06-02
QA Engineer,AIVentures,Казань,103000.0,119000.0,4.0,2023-08-01
DevOps Engineer,ITSolutions,Новосибирск,111000.0,124000.0,5.0,2023-06-13
UI/UX Designer,AIVentures,Ростов-на-Дону,102000.0,121000.0,3.0,2023-05-04
UI/UX Designer,DataMasters,Омск,128000.0,147000.0,5.0,2023-06-26
Machine Learning Engineer,ITSolutions,Самара,167000.0,185000.0,3.0,2023-01-11
Machine Learning Engineer,MobileTech,Нижний Новгород,180000.0,442000.0,5.0,2023-10-26
Product Manager,GameDev,Нижний Новгород,120000.0,139000.0,3.0,2023-04-30
Frontend Developer,TechCorp,Санкт-Петербург,75000.0,98000.0,2.0,2023-01-12
DevOps Engineer,DataMasters,Нижний Новгород,126000.0,143000.0,4.0,2023-12-03
Data Analyst,WebStudio,Самара,146000.0,161000.0,4.0,2023-06-28
Python Developer,CloudNine,Уфа,190000.0,439000.0,4.0,2023-03-06
Java Engineer,TechCorp,Самара,113000.0,128000.0,1.0,2023-01-16
DevOps Engineer,FinTech,Санкт-Петербург,114000.0,133000.0,5.0,2023-12-19
UI/UX Designer,DataMasters,Самара,148000.0,168000.0,2.0,2023-10-27
Python Developer,ITSolutions,Нижний Новгород,160000.0,331000.0,5.0,2023-03-14
Java Engineer,MobileTech,Ростов-на-Дону,117000.0,329000.0,4.0,2023-12-13
Data Analyst,GameDev,Уфа,59000.0,340000.0,4.0,2023-02-13
Python Developer,DataMasters,Нижний Новгород,118000.0,133000.0,3.0,2023-10-20
UI/UX Designer,DataMasters,Нижний Новгород,125000.0,135000.0,3.0,2023-05-10
Data Analyst,TechCorp,Самара,132000.0,148000.0,4.0,2023-05-12
UI/UX Designer,FinTech,Ростов-на-Дону,145000.0,165000.0,5.0,2023-08-30
Machine Learning Engineer,WebStudio,Омск,95000.0,158000.0,5.0,2023-08-23
Java Engineer,AIVentures,Новосибирск,118000.0,133000.0,2.0,2023-11-24
Frontend Developer,WebStudio,Нижний Новгород,186000.0,406000.0,1.0,2023-05-22
DevOps Engineer,DataMasters,Санкт-Петербург,164000.0,332000.0,5.0,2023-07-27
QA Engineer,ITSolutions,Санкт-Петербург,122000.0,136000.0,6.0,2023-02-02
UI/UX Designer,FinTech,Екатеринбург,131000.0,144000.0,4.0,2023-11-01
Machine Learning Engineer,TechCorp,Омск,113000.0,123000.0,4.0,2023-06-30
Frontend Developer,GameDev,Новосибирск,172000.0,425000.0,4.0,2023-11-07
DevOps Engineer,TechCorp,Самара,168000.0,430000.0,7.0,2023-08-26
Product Manager,DataMasters,Самара,122000.0,139000.0,4.0,2023-10-31
Product Manager,GameDev,Ростов-на-Дону,130000.0,276000.0,4.0,2023-06-18
Java Engineer,FinTech,Казань,197000.0,297000.0,6.0,2023-08-02
Machine Learning Engineer,MobileTech,Новосибирск,110000.0,128000.0,5.0,2023-09-12
Python Developer,MobileTech,Омск,143000.0,158000.0,6.0,2023-06-08
Backend Developer,TechCorp,Омск,106000.0,123000.0,5.0,2023-01-01
QA Engineer,CyberSec,Нижний Новгород,123000.0,138000.0,4.0,2023-09-26
Machine Learning Engineer,GameDev,Санкт-Петербург,150000.0,164000.0,4.0,2023-09-12
Product Manager,DataMasters,Екатеринбург,193000.0,214000.0,5.0,2023-08-27
Data Analyst,CyberSec,Москва,135000.0,146000.0,3.0,2023-01-22
Python Developer,MobileTech,Самара,148000.0,167000.0,2.0,2023-12-14
Python Developer,TechCorp,Омск,111000.0,122000.0,4.0,2023-09-07
Frontend Developer,ITSolutions,Нижний Новгород,77000.0,121000.0,4.0,2023-02-18
Python Developer,FinTech,Новосибирск,129000.0,313000.0,5.0,2023-04-19
Machine Learning Engineer,MobileTech,Екатеринбург,123000.0,133000.0,4.0,2023-12-11
Frontend Developer,DataMasters,Казань,143000.0,154000.0,2.0,2023-01-21
UI/UX Designer,GameDev,Уфа,130000.0,140000.0,2.0,2023-10-06
Product Manager,CyberSec,Новосибирск,111000.0,381000.0,5.0,2023-08-26
Frontend Developer,DataMasters,Уфа,64000.0,163000.0,5.0,2023-10-27
Data Analyst,WebStudio,Москва,131000.0,143000.0,3.0,2023-04-17
Data Analyst,FinTech,Ростов-на-Дону,128000.0,146000.0,4.0,2023-05-05
Machine Learning Engineer,AIVentures,Омск,175000.0,227000.0,9.0,2023-06-19
Product Manager,AIVentures,Санкт-Петербург,168000.0,187000.0,3.0,2023-12-29
DevOps Engineer,ITSolutions,Уфа,108000.0,122000.0,2.0,2023-06-19
QA Engineer,TechCorp,Екатеринбург,121000.0,141000.0,5.0,2023-07-13
UI/UX Designer,MobileTech,Омск,159000.0,248000.0,2.0,2023-07-12
Backend Developer,AIVentures,Нижний Новгород,123000.0,136000.0,2.0,2023-03-25
Backend Developer,WebStudio,Санкт-Петербург,65000.0,266000.0,8.0,2023-04-06
Java Engineer,CyberSec,Москва,115000.0,266000.0,3.0,2023-08-20
Data Analyst,GameDev,Санкт-Петербург,97000.0,172000.0,3.0,2023-09-23
Python Developer,WebStudio,Москва,111000.0,125000.0,3.0,2023-03-17
Product Manager,DataMasters,Новосибирск,183000.0,451000.0,3.0,2023-02-15
Product Manager,ITSolutions,Санкт-Петербург,109000.0,128000.0,5.0,2023-07-02
DevOps Engineer,DataMasters,Ростов-на-Дону,74000.0,316000.0,4.0,2023-10-19
QA Engineer,DataMasters,Нижний Новгород,149000.0,164000.0,3.0,2023-01-31
DevOps Engineer,GameDev,Москва,107000.0,120000.0,3.0,2023-05-08
Frontend Developer,WebStudio,Казань,149000.0,164000.0,2.0,2023-03-07
Backend Developer,GameDev,Уфа,65000.0,144000.0,5.0,2023-05-20
DevOps Engineer,GameDev,Нижний Новгород,105000.0,120000.0,5.0,2023-02-08
QA Engineer,DataMasters,Нижний Новгород,175000.0,445000.0,4.0,2023-12-18
Machine Learning Engineer,FinTech,Ростов-на-Дону,152000.0,327000.0,3.0,2023-11-14
DevOps Engineer,GameDev,Ростов-на-Дону,129000.0,148000.0,4.0,2023-01-16
Java Engineer,TechCorp,Казань,128000.0,151000.0,2.0,2023-10-09
Product Manager,CyberSec,Омск,135000.0,152000.0,6.0,2023-02-11
Data Analyst,MobileTech,Нижний Новгород,143000.0,154000.0,3.0,2023-02-26
Machine Learning Engineer,DataMasters,Москва,126000.0,142000.0,1.0,2023-02-19
Data Analyst,CyberSec,Москва,132000.0,146000.0,3.0,2023-09-19
Python Developer,GameDev,Новосибирск,139000.0,152000.0,4.0,2023-04-24
Data Analyst,ITSolutions,Новосибирск,118000.0,133000.0,2.0,2023-07-20
DevOps Engineer,CloudNine,Екатеринбург,90000.0,117000.0,4.0,2023-09-13
Java Engineer,CloudNine,Ростов-на-Дону,124000.0,143000.0,7.0,2023-01-11
Machine Learning Engineer,CyberSec,Ростов-на-Дону,114000.0,182000.0,3.0,2023-11-08
Java Engineer,FinTech,Ростов-на-Дону,111000.0,131000.0,2.0,2023-12-12
Data Analyst,ITSolutions,Москва,178000.0,469000.0,3.0,2023-08-27
